会社名,〇〇卒,職種,選考時期
LINEヤフー,25卒,ソフトウェアエンジニア,2023年11月初旬～2月終わりごろ
LINEヤフー,25卒,機械学習エンジニア,2023年10月~2024年2月
LINEヤフー,25卒,ソフトウェアエンジニア,2023年11月上旬〜2024年2月下旬
LINEヤフー,24卒,開発エンジニア,2022年9~12月、修士1年
LINEヤフー,22卒,機械学習エンジニア,2020年12月~2021年1月 修士1年
LINEヤフー,20卒,機械学習エンジニア,2ヶ月間
DeNA,25卒,エンジニア職,2023年10月から2024年1月、大学院修士1年
DeNA,25卒,エンジニア職,2023年5月〜11月、学部3年
DeNA,19卒,エンジニア職,"2018/02,大学院1年"
DeNA,16卒,エンジニア職,11月〜12月
Amazon,22卒,Operations Enginee...,"2021年3月〜2021年5月,大学4年"
Amazon,22卒,Software Developme...,2021年2月〜2021年3月 大学3年
Amazon,22卒,Software Developme...,2021年2月〜4月、修士1年
google,22卒,ソフトウェアエンジニア,2021年2月〜6月、修士1〜2年
google,22卒,ソフトウェアエンジニア,2020年2月~5月、修士1年
google,22卒,アソシエイト・カスタマーエンジニア,2021年3月～6月
google,21卒,ソフトウェアエンジニア,2020年3月から4月
google,19卒,ソフトウェアエンジニア,2018年4月〜6月 4年
google,19卒,ソフトウェアエンジニア,2018年2月18日〜3月22日
google,17卒,ソフトウェアエンジニア,2016年3月末〜5月末まで
google,17卒,ソフトウェアエンジニア,5月上旬〜6月中旬
メルカリ,19卒,エンジニア職,"2017年12月上旬〜2018年1月下旬,修士1年"
楽天グループ,25卒,エンジニア職,"2023年5月下旬～11月上旬,3年"
楽天グループ,25卒,エンジニア職,2023年5月から11月、大学院修士1年
楽天グループ,25卒,エンジニア職,2024年3月〜5月、修士1年〜修士2年
楽天グループ,25卒,エンジニア職,2023年5月中旬 ~ 2023年11月上旬
楽天グループ,25卒,エンジニア職,2023年11月〜12月
楽天グループ,25卒,エンジニア職,2023年10月末～12月中旬
楽天グループ,25卒,エンジニア職,2024年2月下旬~2024年3月中旬、修士１年
楽天グループ,25卒,エンジニア職,"2023年10月から2024年2月,M1"
IndeedJapan,22卒,技術職,2021年6月上旬〜下旬
IndeedJapan,22卒,技術職,2021年4月中旬～5月下旬、修士2年
サイバーエージェント,25卒,エンジニアコース,2023.12 - 2024.3
サイバーエージェント,25卒,エンジニアコース,2023年10月から12月
サイバーエージェント,24卒,エンジニアコース,2022年10月下旬～11月下旬
サイバーエージェント,25卒,エンジニアコース,2023年1月上旬~2023年2月下旬
サイバーエージェント,25卒,エンジニアコース,2023年10月~12月
サイバーエージェント,25卒,エンジニアコース,2023年10~11月 修士1年
サイバーエージェント,24卒,エンジニアコース,2022年6月〜12月（大学3年）
サイバーエージェント,24卒,エンジニアコース,2022年12月下旬〜2023年3月上旬，修士1年
ソニーグループ,none,none,none
リクルート,25卒,IT エンジニア,2024年3月下旬～2024年6月下旬
